Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,65.56936585,65.98802439,66.36553659,66.71397561,67.04429268,67.3697561,67.699,68.03468293,68.37714634,68.72841463,69.08614634,69.44609756,69.79865854,70.13965854,70.46529268,70.77780488,71.08082927,71.37770732,71.66978049,71.95285366,72.22014634,72.46234146,72.67319512,72.84902439,72.9897561,73.09797561,73.17936585,73.24270732,73.2962439,73.3444878,73.38997561,73.43312195,73.4717561,73.50531707,73.5357561,73.56360976,73.58943902,73.61480488,73.64229268,73.67539024,73.72060976,73.78290244,73.8652439,73.96856098,74.09085366,74.22807317,74.37619512,74.5267561,74.67573171,74.81814634,74.95353659,75.08139024,75.2057561,75.32865854
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,32.3285122,32.77743902,33.21990244,33.65787805,34.09287805,34.52539024,34.95741463,35.38941463,35.82241463,36.26039024,36.70282927,37.1527561,37.61014634,38.07853659,38.56090244,39.05929268,39.57570732,40.11014634,40.66760976,41.25058537,41.86753659,42.52692683,43.23073171,43.97592683,44.75902439,45.57702439,46.42695122,47.29634146,48.16973171,49.03112195,49.86104878,50.64097561,51.36292683,52.02187805,52.61434146,53.13939024,53.60204878,54.01782927,54.40273171,54.76726829,55.12587805,55.48753659,55.85719512,56.23529268,56.62631707,57.0272439,57.43256098,57.83382927,58.22502439,58.60368293,58.97082927,59.32795122,59.67960976,60.02826829
Angola,AGO,32.98482927,33.38621951,33.78758537,34.18846341,34.59034146,34.99221951,35.39509756,35.79997561,36.20585366,36.6102439,37.01512195,37.42102439,37.82692683,38.22682927,38.61378049,38.97580488,39.301,39.58136585,39.81585366,40.00539024,40.1592439,40.28865854,40.408,40.5282439,40.65395122,40.77778049,40.8874878,40.97387805,41.03770732,41.08765854,41.13834146,41.20634146,41.31302439,41.47819512,41.7162439,42.05146341,42.50163415,43.06212195,43.71426829,44.439,45.20478049,45.97314634,46.71173171,47.39317073,48.0035122,48.53880488,49.00704878,49.43573171,49.84739024,50.25102439,50.65417073,51.05931707,51.464,51.86617073
Albania,ALB,62.25436585,63.27346341,64.16285366,64.88709756,65.43819512,65.82739024,66.08931707,66.28721951,66.47495122,66.68160976,66.93258537,67.23887805,67.58595122,67.95795122,68.34834146,68.74121951,69.1155122,69.45617073,69.7542439,70.00965854,70.23597561,70.45446341,70.68512195,70.93739024,71.20653659,71.47121951,71.69756098,71.86195122,71.95329268,71.97858537,71.95731707,71.91841463,71.90080488,71.93585366,72.04195122,72.23602439,72.52741463,72.89809756,73.32658537,73.79339024,74.27207317,74.73421951,75.15795122,75.52936585,75.839,76.08939024,76.29053659,76.46485366,76.63231707,76.80187805,76.9785122,77.16321951,77.35046341,77.5372439
Arab World,ARB,46.84705856,47.42764654,48.00715469,48.58947985,49.17477335,49.75788977,50.32903466,50.88272308,51.41888997,51.94411631,52.46932005,53.00993737,53.57558713,54.16759754,54.78057075,55.40576095,56.03191128,56.64987171,57.2591385,57.86702501,58.48573829,59.12677322,59.79319021,60.47977331,61.17090277,61.84890427,62.49370023,63.09037829,63.62958876,64.10866975,64.62276123,65.00009881,65.29269192,65.63067835,65.97495206,66.36466604,66.69359853,67.0128044,67.30377894,67.58292419,67.82694852,68.05506431,68.26425008,68.46192675,68.66457376,68.86994405,69.09094838,69.31758836,69.54373863,69.77380636,70.00301692,70.21934746,70.42899084,70.63130517
United Arab Emirates,ARE,52.24321951,53.28656098,54.327,55.3635122,56.39258537,57.40570732,58.39185366,59.34046341,60.24404878,61.09858537,61.90104878,62.65495122,63.36631707,64.04312195,64.68890244,65.30514634,65.89334146,66.454,66.98860976,67.49717073,67.98319512,68.44517073,68.88409756,69.3014878,69.69831707,70.07663415,70.43639024,70.77812195,71.10482927,71.418,71.72014634,72.01229268,72.29641463,72.57302439,72.84558537,73.11507317,73.38392683,73.65265854,73.92021951,74.18717073,74.45153659,74.71287805,74.96826829,75.21721951,75.45726829,75.68639024,75.90453659,76.11117073,76.3077561,76.49478049,76.6752439,76.85119512,77.02414634,77.19563415
Argentina,ARG,65.21553659,65.3385122,65.43260976,65.50939024,65.58241463,65.66868293,65.7822439,65.93002439,66.1134878,66.33509756,66.59082927,66.87312195,67.16795122,67.46531707,67.75865854,68.04795122,68.33670732,68.62943902,68.92663415,69.22431707,69.5144878,69.78665854,70.03531707,70.257,70.45419512,70.63139024,70.79907317,70.9677561,71.14590244,71.33753659,71.54365854,71.76329268,71.98895122,72.21565854,72.44139024,72.66512195,72.88734146,73.10804878,73.32768293,73.54426829,73.75580488,73.96031707,74.15578049,74.34126829,74.51878049,74.68780488,74.84990244,75.00904878,75.16626829,75.32456098,75.48497561,75.64904878,75.8162439,75.98609756
Armenia,ARM,65.86346341,66.28439024,66.70985366,67.13785366,67.56541463,67.99153659,68.41473171,68.8304878,69.22926829,69.60004878,69.92426829,70.18287805,70.36734146,70.47965854,70.52634146,70.53192683,70.52941463,70.54290244,70.58297561,70.64126829,70.68453659,70.66160976,70.5355122,70.29014634,69.93568293,69.5,69.02429268,68.56756098,68.18209756,67.8995122,67.74780488,67.73829268,67.85334146,68.06956098,68.37665854,68.76356098,69.21685366,69.71641463,70.24021951,70.76709756,71.27658537,71.75582927,72.20160976,72.60958537,72.9737561,73.28739024,73.54826829,73.76465854,73.945,74.09582927,74.22634146,74.34282927,74.45209756,74.56136585
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,61.78273171,62.19541463,62.59853659,62.99258537,63.37858537,63.75607317,64.12556098,64.48807317,64.84212195,65.18919512,65.52934146,65.86202439,66.18826829,66.508,66.82178049,67.13007317,67.43339024,67.7307561,68.02263415,68.30953659,68.59197561,68.86895122,69.14092683,69.40792683,69.67046341,69.9285122,70.18256098,70.43263415,70.67973171,70.92282927,71.16295122,71.40058537,71.63470732,71.86585366,72.093,72.31768293,72.53885366,72.75756098,72.97378049,73.18602439,73.39729268,73.60709756,73.81543902,74.02178049,74.22614634,74.42543902,74.61814634,74.80321951,74.97917073,75.14702439,75.30878049,75.46602439,75.62180488,75.77865854
Australia,AUS,70.81707317,70.97317073,70.94243902,70.91170732,70.88097561,70.8502439,70.8195122,70.86926829,70.91902439,70.96878049,71.01853659,71.06829268,71.45756098,71.84682927,72.23609756,72.62536585,73.01463415,73.34439024,73.67414634,74.00390244,74.33365854,74.66341463,74.90487805,75.14634146,75.38780488,75.62926829,75.87073171,76.15170732,76.43268293,76.71365854,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.19756098
Austria,AUT,68.58560976,69.57731707,69.3095122,69.44365854,69.92195122,69.72219512,70.04585366,69.91780488,70.05756098,69.83317073,69.91463415,70.11463415,70.46341463,71.01463415,71.01219512,71.11463415,71.56585366,71.91463415,72.01219512,72.31219512,72.46341463,72.81219512,72.96097561,73.01219512,73.61219512,73.81463415,74.31707317,74.76829268,75.21707317,75.26585366,75.56829268,75.61707317,75.81707317,76.06829268,76.4195122,76.66829268,76.87073171,77.3195122,77.67073171,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,80.8902439
Azerbaijan,AZE,60.8362439,61.23917073,61.64458537,62.052,62.45741463,62.86182927,63.26726829,63.66873171,64.05670732,64.41868293,64.73460976,64.98143902,65.14812195,65.23417073,65.24358537,65.18743902,65.08229268,64.95321951,64.8287561,64.72795122,64.68131707,64.71643902,64.83073171,65.00809756,65.22590244,65.42778049,65.54134146,65.52592683,65.36914634,65.08926829,64.74636585,64.42414634,64.2072439,64.15402439,64.28158537,64.57582927,64.994,65.46239024,65.92336585,66.3554878,66.7582439,67.15029268,67.56107317,68.00368293,68.47019512,68.93726829,69.37473171,69.756,70.06292683,70.29265854,70.45029268,70.55129268,70.62495122,70.69314634
Burundi,BDI,41.23604878,41.54546341,41.86039024,42.17780488,42.49221951,42.79014634,43.05507317,43.28002439,43.46797561,43.62743902,43.78192683,43.95992683,44.18495122,44.47146341,44.81846341,45.21890244,45.65373171,46.09292683,46.5134878,46.90295122,47.26282927,47.60468293,47.93858537,48.26158537,48.5602439,48.78558537,48.88117073,48.82446341,48.62641463,48.3234878,48.00012195,47.76521951,47.70173171,47.85858537,48.23926829,48.80078049,49.46260976,50.11985366,50.69204878,51.1492439,51.4854878,51.72482927,51.92826829,52.14531707,52.39639024,52.69695122,53.05387805,53.45607317,53.89102439,54.35121951,54.82919512,55.31202439,55.78929268,56.25160976
Belgium,BEL,69.70195122,70.52097561,70.2195122,70.05146341,70.75512195,70.62536585,70.70634146,71.01292683,70.69317073,70.76487805,70.97195122,71.0604878,71.40512195,71.63536585,71.98585366,71.97121951,72.1197561,72.77390244,72.69804878,73.19365854,73.20707317,73.62170732,73.88804878,73.86902439,74.40487805,74.5202439,74.73170732,75.36585366,75.56585366,75.63268293,76.05195122,76.19219512,76.35121951,76.34536585,76.69170732,76.84073171,77.18731707,77.37073171,77.47317073,77.6195122,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,79.98292683,80.23414634,80.58536585,80.38536585,80.38536585
Benin,BEN,37.27826829,37.73119512,38.18941463,38.65734146,39.13685366,39.63273171,40.1482439,40.68082927,41.22812195,41.7857561,42.35,42.91673171,43.47980488,44.0334878,44.5724878,45.08690244,45.56514634,46.01004878,46.42792683,46.82926829,47.23458537,47.66892683,48.15034146,48.68831707,49.28278049,49.93468293,50.63846341,51.36902439,52.09673171,52.79346341,53.42,53.93570732,54.32702439,54.59497561,54.75007317,54.81595122,54.83180488,54.84231707,54.89014634,54.99878049,55.1882439,55.4664878,55.81431707,56.20807317,56.63317073,57.06597561,57.48339024,57.86739024,58.2045122,58.49126829,58.72970732,58.93290244,59.12197561,59.31202439
Burkina Faso,BFA,34.47790244,34.93863415,35.40587805,35.87965854,36.35895122,36.8377561,37.30904878,37.76831707,38.21653659,38.65773171,39.09687805,39.5385122,39.99517073,40.48034146,41.00658537,41.60639024,42.31329268,43.1302439,44.03978049,45.01339024,45.99756098,46.92831707,47.74963415,48.422,48.92436585,49.25121951,49.41753659,49.47226829,49.46290244,49.41987805,49.36560976,49.31646341,49.27795122,49.25965854,49.27770732,49.33836585,49.4435122,49.58834146,49.77692683,50.02070732,50.34592683,50.78321951,51.34019512,52.00807317,52.76778049,53.58131707,54.40390244,55.18880488,55.90229268,56.52497561,57.05139024,57.49204878,57.87931707,58.24063415
Bangladesh,BGD,45.82931707,46.45792683,47.08397561,47.69246341,48.25543902,48.68953659,48.89541463,48.83814634,48.53670732,48.05153659,47.52541463,47.13858537,47.03431707,47.2955122,47.93012195,48.87080488,49.98773171,51.10568293,52.08982927,52.88729268,53.48804878,53.92802439,54.30307317,54.68956098,55.11443902,55.59065854,56.11519512,56.66858537,57.23487805,57.81565854,58.41756098,59.05026829,59.71785366,60.41880488,61.14553659,61.88739024,62.62956098,63.35787805,64.05914634,64.72382927,65.34797561,65.93017073,66.47817073,67.00014634,67.49719512,67.97185366,68.42563415,68.85997561,69.27785366,69.68378049,70.08029268,70.47195122,70.86026829,71.2452439
Bulgaria,BGR,69.24756098,70.19560976,69.49195122,70.30926829,71.12121951,71.29390244,71.22341463,70.41390244,71.22512195,70.43,71.25634146,70.87365854,70.8995122,71.34219512,71.20804878,71.0497561,71.39487805,70.81609756,71.18463415,71.30829268,71.15756098,71.57195122,71.18609756,71.38634146,71.4997561,71.22804878,71.73073171,71.52682927,71.60439024,71.72243902,71.64146341,71.56097561,71.49439024,71.34682927,71.20878049,71.05341463,70.89731707,70.35121951,71.06097561,71.41219512,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.46585366
Bahrain,BHR,52.08936585,53.4585122,54.81826829,56.14658537,57.42587805,58.64007317,59.78312195,60.858,61.86973171,62.81729268,63.69919512,64.5174878,65.27770732,65.98641463,66.64660976,67.26382927,67.83956098,68.37778049,68.87897561,69.34560976,69.77865854,70.17658537,70.53736585,70.864,71.16,71.42787805,71.67168293,71.89595122,72.10570732,72.30797561,72.5072439,72.7095122,72.91473171,73.12390244,73.3375122,73.55507317,73.77509756,73.99160976,74.20309756,74.40607317,74.5994878,74.78182927,74.95407317,75.11770732,75.27321951,75.42214634,75.56646341,75.7077561,75.8475122,75.98778049,76.12756098,76.26785366,76.40763415,76.54595122
"Bahamas, The",BHS,62.72904878,63.0725122,63.40802439,63.73704878,64.05909756,64.37468293,64.68378049,64.98739024,65.28502439,65.57668293,65.86385366,66.14556098,66.42226829,66.693,66.9587561,67.22002439,67.47631707,67.72812195,67.97495122,68.21878049,68.45860976,68.69541463,68.92968293,69.16046341,69.3872439,69.61060976,69.82909756,70.04278049,70.24965854,70.44778049,70.63065854,70.79180488,70.92963415,71.04814634,71.15480488,71.26256098,71.39043902,71.54987805,71.74787805,71.98436585,72.25429268,72.54509756,72.84126829,73.12729268,73.39465854,73.63887805,73.85846341,74.05946341,74.24743902,74.42390244,74.59239024,74.75441463,74.91446341,75.07353659
Bosnia and Herzegovina,BIH,60.27621951,60.94158537,61.56797561,62.16234146,62.73368293,63.292,63.84485366,64.39729268,64.94985366,65.5044878,66.06163415,66.62121951,67.17514634,67.71339024,68.22692683,68.70026829,69.11690244,69.47292683,69.76795122,70.00758537,70.21358537,70.41726829,70.63717073,70.87868293,71.13256098,71.35158537,71.47436585,71.46392683,71.3182439,71.06565854,70.78321951,70.57280488,70.51804878,70.66912195,71.0295122,71.56609756,72.20880488,72.85873171,73.43729268,73.90963415,74.26073171,74.50092683,74.67558537,74.82436585,74.9594878,75.09353659,75.23143902,75.3714878,75.51197561,75.65736585,75.80768293,75.96292683,76.12017073,76.27692683
