fbtime,title,company,experence,gzdd,zwyx,totalnum
2017-09-17 18:10:07,java开发工程师+五险一金+双休（实习生）,北京荣新广育科技有限公司,不限,北京,4001-6000元/月 ,15 
2017-09-18 08:40:54,JAVA高级工程师( 后端 ),北京咚漫娱乐有限公司 ,3-5年,北京,20000-35000元/月 ,1 
2017-09-17 10:30:02,项目部一企业直招零基础Java工程师实习生,华锐祥博(北京)科技有限公司 ,不限,北京,8001-10000元/月 ,20 
2017-09-13 16:34:46,JAVA开发工程师-票据业务（需要长期出差）,北京明润华创科技有限责任公司 ,1-3年,北京,5000-10000元/月 ,3 
2017-09-18 09:48:47,Java高级开发工程师,北京万物小草智能科技有限公司 ,3-5年,北京,15000-25000元/月 ,1 
2017-09-15 09:47:09,Java开发工程师,北京戎超科技有限公司 ,5-10年,北京,15000-30000元/月 ,2 
2017-09-13 16:46:10,高级JAVA开发工程师,北京普巴软件有限公司 ,3-5年,北京,12000-18000元/月 ,1 
2017-09-13 16:31:24,JAVA大数据开发助理（五险一金+双休）,北京优才众创管理咨询合伙企业(有限合伙) ,不限,北京,4001-6000元/月 ,2 
2017-09-20 14:55:26,JAVA开发工程师,中瑞华科(北京)科技有限公司 ,不限,北京,6001-8000元/月 ,8 
2017-09-20 12:10:00,JAVA工程师,传奇梦想(北京)文化传媒有限公司 ,1-3年,北京,10000-20000元/月 ,1 
2017-09-18 11:19:40,Java开发工程师,北京艾漫数据科技股份有限公司 ,1-3年,北京,10001-15000元/月 ,1 
2017-09-20 14:26:32,中级/高级Java工程师,思锐创途网络技术(北京)有限公司,3-5年,北京,12000-20000元/月 ,2 
2017-09-18 09:46:05,java开发工程师（ssh框架）,北京瑞合实创科技发展有限公司 ,3-5年,北京,15001-20000元/月 ,5 
2017-09-12 14:50:56,Java开发工程师,北京臻迪机器人有限公司,3-5年,北京,10000-15000元/月 ,1 
2017-09-15 10:16:21,Java开发经理,北京红枣科技有限公司 ,5-10年,北京,20000-23000元/月 ,1 
2017-09-20 15:13:28,java游戏服务器开发工程师,开心网,不限,北京,15001-20000元/月 ,2 
0002-01-01 00:00:00,java开发实习生,北京瑞明恒通科技有限公司 ,不限,北京,4001-6000元/月 ,5 
2017-09-20 15:13:20,JAVA开发工程师,东方瑞通（北京）咨询服务有限公司 ,1-3年,北京,10001-15000元/月 ,1 
2017-09-18 11:29:41,java开发工程师,北京众享智选科技有限公司 ,3-5年,北京,10000-20000元/月 ,2 
2017-09-06 10:16:13,高级JAVA开发工程师,北京汉朔科技有限公司 ,3-5年,北京,10001-15000元/月 ,1 
2017-09-19 11:04:31,Java开发程序员零基础可培养,云涯谷(北京)软件技术有限公司,无经验,北京,6001-8000元/月 ,5 
2017-08-18 10:05:42,JAVA高级开发工程师,畅捷通信息技术股份有限公司 ,3-5年,北京,70001-100000元/月 ,1 
2017-09-18 10:02:32,Java工程师,首中投资管理有限公司 ,3-5年,北京,10001-15000元/月 ,2 
2017-09-18 09:31:59,java开发工程师（中高级）,北京联合永道软件股份有限公司,3-5年,北京,10001-15000元/月 ,5 
2017-09-20 11:55:38,高级JAVA工程师,中益善源(北京)科技有限公司 ,3-5年,北京,15000-20000元/月 ,1 
